Name,Day,Time,Duration Estimate,Distance,Address,Phone,Website,Pups,Kiddos,,,
Black Star Pub & Grill,Friday,7:00 PM,,,"158 100th St S, Tacoma, WA 98444",12535356688,http://www.blackstar.pub/,,,,,
Red Star Taco Bar,Monday,7:00 PM,2 Hrs,,"454 St Helens Ave, Tacoma, WA 98402",12535459795,https://www.redstartacobar.com/,,Yes,,,
O'Malley's Irish Pub,Monday,6:30 PM,,,"2403 6th Ave, Tacoma, WA 98406",12536279403,https://omalleysirishpubwa.com/,,,,,
Incline Cider House,Thursday,7:00 PM,2 Hrs,,"2115 S C St, Tacoma, WA 98402",12533271923,https://www.inclinecider.com/tap-room,Service Animals Only,,,,
Rick J's Restaurant,Thursday,7:00 PM,,,"6805 176th St E, Puyallup, WA 98375",12535078182,https://www.ricky-js.com/,,,,,
The Office Bar & Grill,none,?,,,"813 Pacific Ave, Tacoma, WA 98402",12535723222,http://theofficeonpacific.com/,,,,,
Puget Sound Pizza,Thursday,7:00 PM,,,"317 S 7th St, Tacoma, WA 98402",12533834777,https://pugetsoundpizza.com/,,,,,
Doyle's Public House,Thursday,8:00 PM,,,"208 St Helens Ave, Tacoma, WA 98402",12532727468,https://doylespublichouse.com/,Yes,No,,,
Half Pint Pizza Pub,Thursday,8:00 PM,,,"2710 6th Ave, Tacoma, WA 98406",12532722531,empty,,,,,
Airport Tavern,Thursday,7:00 PM,,,"5406 S Tacoma Way, Tacoma, WA 98409",12532120709,https://www.airporttavern.com/,,,,,
The Loose Wheel Bar & Grill,Thursday,8:00 PM,,,"6108 6th Ave, Tacoma, WA 98406",12533011647,https://www.theloosewheel.com/,No,,,,
Narrows Brewing Company,Thursday,7:00 PM,,,"9007 S 19th St, Tacoma, WA 98466",12533271400,http://www.narrowsbrewing.com/,,,,,
Dusty's Hideaway,Tuesday,7:00 PM,,,"723 E 34th St, Tacoma, WA 98404",12532920106,http://dustyshideaway.com/,,,,,
The Forum,Tuesday,7:00 PM,,,"815 Pacific Ave A, Tacoma, WA 98402",12538302151,http://www.eatattheforum.com/,,,,,
Tacoma Comedy Club ,Tuesday,7:00 PM,,,"933 Market St, Tacoma, WA 98402",12532827203,http://www.tacomacomedyclub.com/,,,,,
The Redd Dogg,Tuesday,6:00 PM,,,"2805 6th Ave, Tacoma, WA 98406",12532121174,https://theredddog.com/menu/6th-ave-tacoma-wa/,,,,,
Crown Bar,Tuesday,7:30,,,"2705 6th Ave, Tacoma, WA 98406",12532724177,empty,,,,,
Black Star Pub & Grill,Tuesday,7:00 PM,,,"158 100th St S, Tacoma, WA 98444",12535356688,http://www.blackstar.pub/,,,,,
Sig Brewing Company,Wednesday,7:00 PM,,,"2534 Tacoma Ave S, Tacoma, WA 98402",12535036446,http://www.sigbrewingco.com/,,,,,
Odd Otter,Wednesday,6:30 PM,,,"716 Pacific Ave, Tacoma, WA 98402",12533271680,http://oddotterbrewing.com/,,,,,
E9 Firehouse & Gastropub,Wednesday,7:30 PM,,,"611 N Pine St, Tacoma, WA 98406",12532723435,http://www.ehouse9.com/,,,,,
Blackfeet Brewing,,?,,,"2302 Fawcett Ave, Tacoma, WA 98402",12533271641,http://www.blackfleetbrewing.com/,,,,,
Topside Bar & Grill,,?,,,"215 Wilkes St, Steilacoom, WA 98388",12532123690,http://topsidebargrill.com/,,,,,
Off Day,Wednesday ,19:00,,,"3013 6th Ave C, Tacoma, WA 98406",253302-3047,empty,,,,,
Katie Downs,Tuesday ,7:00,,,"3211 Ruston Way, Tacoma, WA 98402",2537560771,https://katiedowns.com/,,,,,
Farellis Pizza,Thursday ,7:00,,,176 & canyon,,,,,,,
Berliner Beer Hall ,Wednesday ,7:30,,," 2401 Pacific Ave, Tacoma, WA 98402",2533025714,https://www.berlinerbeerhall.com/,No,Yes,,,
,,,,,,,,,,,,
,,,,,,,,,,,,